"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
syn,Ipomea,Ischaemum,polystachyum,,,,,,,,,,Scytinostroma
Ischaemum,pescaprae,polystachyum,syn,,,,,,,,,,galactinum
digitatum,pohuehue,syn,Ischaemum,,,,,,,,,,Septoria
Baron,beach,Ischaemum,digitatum,,,,,,,,,,ampelina
s,morning,digitatum,Baron,,,,,,,,,,Septoria
grass,glory,Baron,s,,,,,,,,,,apiicola
paddlegrass,Ischaemum,s,grass,,,,,,,,,,Septoria
reh,polystachyum,grass,paddlegrass,,,,,,,,,,bromi
padil,syn,paddlegrass,reh,,,,,,,,,,Septoria
Jacquemontia,Ischaemum,reh,padil,,,,,,,,,,cornicola
ovalifolia,digitatum,padil,Jacquemontia,,,,,,,,,,Septoria
subsp,Baron,Jacquemontia,ovalifolia,,,,,,,,,,glycines
sandwicensis,s,ovalifolia,subsp,,,,,,,,,,Septoria
pa,grass,subsp,sandwicensis,,,,,,,,,,gossypina
uohi,paddlegrass,sandwicensis,pa,,,,,,,,,,Septoria
iaka,reh,pa,uohi,,,,,,,,,,lycopersici
Juncus,padil,uohi,iaka,,,,,,,,,,Septoria
effusus,Jacquemontia,iaka,Juncus,,,,,,,,,,lycopersici
soft,ovalifolia,Juncus,effusus,,,,,,,,,,var
rush,subsp,effusus,soft,,,,,,,,,,.
Lablab,sandwicensis,soft,rush,,,,,,,,,,lycopersiciSeptoria
purpureus,pa,rush,Lablab,,,,,,,,,,musiva
lablab,uohi,Lablab,purpureus,,,,,,,,,,Septoria
Lippia,iaka,purpureus,lablab,,,,,,,,,,passerinii
nodiflora,Juncus,lablab,Lippia,,,,,,,,,,Septoria
lippia,effusus,Lippia,nodiflora,,,,,,,,,,tritici
Lolium,soft,nodiflora,lippia,,,,,,,,,,Septoria
multiflorum,rush,lippia,Lolium,,,,,,,,,,vincae
annual,Lablab,Lolium,multiflorum,,,,,,,,,,Setomelanomma
ryegrass,purpureus,multiflorum,annual,,,,,,,,,,holmii
Lolium,lablab,annual,ryegrass,,,,,,,,,,Sirococcus
perenne,Lippia,ryegrass,Lolium,,,,,,,,,,clavigignenti-juglandacearum
perennial,nodiflora,Lolium,perenne,,,,,,,,,,Sirococcus
ryegrass,lippia,perenne,perennial,,,,,,,,,,conigenus
Lophostemon,Lolium,perennial,ryegrass,,,,,,,,,,Sistotrema
confertus,multiflorum,ryegrass,Lophostemon,,,,,,,,,,brinkmannii
syn,annual,Lophostemon,confertus,,,,,,,,,,Sistotrema
Tristania,ryegrass,confertus,syn,,,,,,,,,,raduloides
conferta,Lolium,syn,Tristania,,,,,,,,,,Sphaceloma
brushbox,perenne,Tristania,conferta,,,,,,,,,,fawcettii
Lotus,perennial,conferta,brushbox,,,,,,,,,,var
pedunculatus,ryegrass,brushbox,Lotus,,,,,,,,,,.
big,Lophostemon,Lotus,pedunculatus,,,,,,,,,,scabiosaeSphaceloma
trefoil,confertus,pedunculatus,big,,,,,,,,,,perseae
Lycium,syn,big,trefoil,,,,,,,,,,Sphaceloma
sandwicense,Tristania,trefoil,Lycium,,,,,,,,,,poinsettiae
ohelo,conferta,Lycium,sandwicense,,,,,,,,,,Sphaceloma
kai,brushbox,sandwicense,ohelo,,,,,,,,,,symphoricarpi
Magnifera,Lotus,ohelo,kai,,,,,,,,,,Sphacelotheca
indica,pedunculatus,kai,Magnifera,,,,,,,,,,hydropiperis
mango,big,Magnifera,indica,,,,,,,,,,Sphacelotheca
kangit,trefoil,indica,mango,,,,,,,,,,reiliana
idele,Lycium,mango,kangit,,,,,,,,,,Sphaerobolus
mago,sandwicense,kangit,idele,,,,,,,,,,stellatus
mangueira,ohelo,idele,mago,,,,,,,,,,Sphaeropsis
Medicago,kai,mago,mangueira,,,,,,,,,,parca
sativa,Magnifera,mangueira,Medicago,,,,,,,,,,Sphaeropsis
alfalfa,indica,Medicago,sativa,,,,,,,,,,sapinea
Melitotus,mango,sativa,alfalfa,,,,,,,,,,Sphaeropsis
sp,kangit,alfalfa,Melitotus,,,,,,,,,,tumefaciens
sweet,idele,Melitotus,sp,,,,,,,,,,Sphaerotheca
clover,mago,sp,sweet,,,,,,,,,,mors-uvae
Metrosideros,mangueira,sweet,clover,,,,,,,,,,Sphaerotheca
polymorpha,Medicago,clover,Metrosideros,,,,,,,,,,phytoptophila
ohi,sativa,Metrosideros,polymorpha,,,,,,,,,,Spongospora
a,alfalfa,polymorpha,ohi,,,,,,,,,,subterranea
lehua,Melitotus,ohi,a,,,,,,,,,,Spongospora
Morinda,sp,a,lehua,,,,,,,,,,subterranea
citrifolia,sweet,lehua,Morinda,,,,,,,,,,f.sp
noni,clover,Morinda,citrifolia,,,,,,,,,,.
lada,Metrosideros,citrifolia,noni,,,,,,,,,,subterraneaSporisorium
nonu,polymorpha,noni,lada,,,,,,,,,,caledonicum
kesengel,ohi,lada,nonu,,,,,,,,,,Sporisorium
i,a,nonu,kesengel,,,,,,,,,,cenchri
nen,lehua,kesengel,i,,,,,,,,,,Sporisorium
mangal,Morinda,i,nen,,,,,,,,,,sorghi
wag,citrifolia,nen,mangal,,,,,,,,,,Stachybotrys
Indian,noni,mangal,wag,,,,,,,,,,chartarum
mulberry,lada,wag,Indian,,,,,,,,,,Stagonospora
Musa,nonu,Indian,mulberry,,,,,,,,,,meliloti
sp,kesengel,mulberry,Musa,,,,,,,,,,Stagonospora
cv,i,Musa,sp,,,,,,,,,,mori
Santa,nen,sp,cv,,,,,,,,,,Stagonospora
Catarina,mangal,cv,Santa,,,,,,,,,,nodorum
Prata,wag,Santa,Catarina,,,,,,,,,,Stagonosporopsis
dwarf,Indian,Catarina,Prata,,,,,,,,,,citrulli
Brazilian,mulberry,Prata,dwarf,,,,,,,,,,Stagonosporopsis
banana,Musa,dwarf,Brazilian,,,,,,,,,,cucurbitacearum
Myoporum,sp,Brazilian,banana,,,,,,,,,,Stegophora
sandwicense,cv,banana,Myoporum,,,,,,,,,,ulmea
naio,Santa,Myoporum,sandwicense,,,,,,,,,,Stemphylium
Nerium,Catarina,sandwicense,naio,,,,,,,,,,botryosum
oleander,Prata,naio,Nerium,,,,,,,,,,Stemphylium
oleander,dwarf,Nerium,oleander,,,,,,,,,,loti
oliana,Brazilian,oleander,oleander,,,,,,,,,,Stemphylium
Opuntia,banana,oleander,oliana,,,,,,,,,,lycopersici
ficusindica,Myoporum,oliana,Opuntia,,,,,,,,,,Stemphylium
panini,sandwicense,Opuntia,ficusindica,,,,,,,,,,solani
prickly,naio,ficusindica,panini,,,,,,,,,,Stemphylium
pear,Nerium,panini,prickly,,,,,,,,,,vesicarium
cactus,oleander,prickly,pear,,,,,,,,,,Stenocarpella
Oryza,oleander,pear,cactus,,,,,,,,,,maydis
sativa,oliana,cactus,Oryza,,,,,,,,,,Stereum
rice,Opuntia,Oryza,sativa,,,,,,,,,,gausapatum
Osteomeles,ficusindica,sativa,rice,,,,,,,,,,Stereum
anthyllidifolia,panini,rice,Osteomeles,,,,,,,,,,hirsutum
ulei,prickly,Osteomeles,anthyllidifolia,,,,,,,,,,Stereum
Osteospermum,pear,anthyllidifolia,ulei,,,,,,,,,,ostrea
fruticosum,cactus,ulei,Osteospermum,,,,,,,,,,Stereum
trailing,Oryza,Osteospermum,fruticosum,,,,,,,,,,sanguinolentum
African,sativa,fruticosum,trailing,,,,,,,,,,Stereum
daisy,rice,trailing,African,,,,,,,,,,sulcatum
Pandanus,Osteomeles,African,daisy,,,,,,,,,,Stigmina
tectorius,anthyllidifolia,daisy,Pandanus,,,,,,,,,,lautii
hala,ulei,Pandanus,tectorius,,,,,,,,,,Stigmina
kafu,Osteospermum,tectorius,hala,,,,,,,,,,palmivora
fasa,fruticosum,hala,kafu,,,,,,,,,,Strumella
ongor,trailing,kafu,fasa,,,,,,,,,,coryneoidea
Paspalum,African,fasa,ongor,,,,,,,,,,Taphrina
hieronymii,daisy,ongor,Paspalum,,,,,,,,,,americana
cv,Pandanus,Paspalum,hieronymii,,,,,,,,,,Taphrina
Tropic,tectorius,hieronymii,cv,,,,,,,,,,caerulescens
Lalo,hala,cv,Tropic,,,,,,,,,,Taphrina
paspalum,kafu,Tropic,Lalo,,,,,,,,,,communis
Paspalum,fasa,Lalo,paspalum,,,,,,,,,,Taphrina
orbiculare,ongor,paspalum,Paspalum,,,,,,,,,,confusa
mau,Paspalum,Paspalum,orbiculare,,,,,,,,,,Taphrina
u,hieronymii,orbiculare,mau,,,,,,,,,,deformans
laiki,cv,mau,u,,,,,,,,,,Taphrina
ricegrass,Tropic,u,laiki,,,,,,,,,,populi-salicis
Paspalum,Lalo,laiki,ricegrass,,,,,,,,,,Taphrina
vaginatum,paspalum,ricegrass,Paspalum,,,,,,,,,,populina
seashore,Paspalum,Paspalum,vaginatum,,,,,,,,,,Thekopsora
paspalum,orbiculare,vaginatum,seashore,,,,,,,,,,minima
Pennisetum,mau,seashore,paspalum,,,,,,,,,,Thielavia
purpureum,u,paspalum,Pennisetum,,,,,,,,,,basicola
cv,laiki,Pennisetum,purpureum,,,,,,,,,,Thielaviopsis
Mott,ricegrass,purpureum,cv,,,,,,,,,,basicola
Napiergrass,Paspalum,cv,Mott,,,,,,,,,,Thyronectria
Pennisetum,vaginatum,Mott,Napiergrass,,,,,,,,,,austroamericana
purpureum,seashore,Napiergrass,Pennisetum,,,,,,,,,,Thyronectria
x,paspalum,Pennisetum,purpureum,,,,,,,,,,balsamea
Pennisetum,Pennisetum,purpureum,x,,,,,,,,,,Thyrostroma
glaucum,purpureum,x,Pennisetum,,,,,,,,,,carpophilum
cv,cv,Pennisetum,glaucum,,,,,,,,,,Tilletia
PMN,Mott,glaucum,cv,,,,,,,,,,asperifolia
Hybrid,Napiergrass,cv,PMN,,,,,,,,,,Tilletia
Napiergrass,Pennisetum,PMN,Hybrid,,,,,,,,,,asperifolioides
hybrid,purpureum,Hybrid,Napiergrass,,,,,,,,,,Tilletia
Persea,x,Napiergrass,hybrid,,,,,,,,,,barclayana
americana,Pennisetum,hybrid,Persea,,,,,,,,,,Tilletia
avocado,glaucum,Persea,americana,,,,,,,,,,caries
Piper,cv,americana,avocado,,,,,,,,,,Tilletia
methysticum,PMN,avocado,Piper,,,,,,,,,,controversa
awa,Hybrid,Piper,methysticum,,,,,,,,,,Tilletia
ava,Napiergrass,methysticum,awa,,,,,,,,,,laevis
kava,hybrid,awa,ava,,,,,,,,,,Trametes
sakau,Persea,ava,kava,,,,,,,,,,hirsuta
Plumeria,americana,kava,sakau,,,,,,,,,,Trametes
obtusa,avocado,sakau,Plumeria,,,,,,,,,,tenuis
plumeria,Piper,Plumeria,obtusa,,,,,,,,,,Trametes
Podocarpus,methysticum,obtusa,plumeria,,,,,,,,,,versicolor
sp,awa,plumeria,Podocarpus,,,,,,,,,,Tranzschelia
podocarpus,ava,Podocarpus,sp,,,,,,,,,,discolor
Polygonum,kava,sp,podocarpus,,,,,,,,,,Tranzschelia
minus,sakau,podocarpus,Polygonum,,,,,,,,,,pruni-spinosae
var,Plumeria,Polygonum,minus,,,,,,,,,,Trichaptum
procerum,obtusa,minus,var,,,,,,,,,,biforme
kamole,plumeria,var,procerum,,,,,,,,,,Trichoderma
smartweed,Podocarpus,procerum,kamole,,,,,,,,,,harzianum
Polyscias,sp,kamole,smartweed,,,,,,,,,,Trichoderma
guilfoylei,podocarpus,smartweed,Polyscias,,,,,,,,,,viride
syn,Polygonum,Polyscias,guilfoylei,,,,,,,,,,Tubakia
Nothopanax,minus,guilfoylei,syn,,,,,,,,,,dryina
guilfoylei,var,syn,Nothopanax,,,,,,,,,,Tubercularia
panax,procerum,Nothopanax,guilfoylei,,,,,,,,,,ulmea
tanitani,kamole,guilfoylei,panax,,,,,,,,,,Typhula
Portulaca,smartweed,panax,tanitani,,,,,,,,,,idahoensis
grandiflora,Polyscias,tanitani,Portulaca,,,,,,,,,,Typhula
rosemoss,guilfoylei,Portulaca,grandiflora,,,,,,,,,,incarnata
Pouteria,syn,grandiflora,rosemoss,,,,,,,,,,Typhula
sandwicensis,Nothopanax,rosemoss,Pouteria,,,,,,,,,,ishikariensis
ala,guilfoylei,Pouteria,sandwicensis,,,,,,,,,,Typhula
a,panax,sandwicensis,ala,,,,,,,,,,ishikariensis
Premna,tanitani,ala,a,,,,,,,,,,var
obtusifolia,Portulaca,a,Premna,,,,,,,,,,.
syn,grandiflora,Premna,obtusifolia,,,,,,,,,,canadensisTyphula
Premna,rosemoss,obtusifolia,syn,,,,,,,,,,ishikariensis
serratifolia,Pouteria,syn,Premna,,,,,,,,,,var
ahgao,sandwicensis,Premna,serratifolia,,,,,,,,,,.
aloalo,ala,serratifolia,ahgao,,,,,,,,,,ishikariensisTyphula
topwuk,a,ahgao,aloalo,,,,,,,,,,phacorrhiza
fienkack,Premna,aloalo,topwuk,,,,,,,,,,Uredo
arr,obtusifolia,topwuk,fienkack,,,,,,,,,,cajani
nior,syn,fienkack,arr,,,,,,,,,,Uredo
lior,Premna,arr,nior,,,,,,,,,,dioscoreicola
FALSE,serratifolia,nior,lior,,,,,,,,,,Uredo
elder,ahgao,lior,FALSE,,,,,,,,,,musae
Pritchardia,aloalo,FALSE,elder,,,,,,,,,,Urocystis
sp,topwuk,elder,Pritchardia,,,,,,,,,,agropyri
loulu,fienkack,Pritchardia,sp,,,,,,,,,,Urocystis
palm,arr,sp,loulu,,,,,,,,,,anemones
Ptychosperma,nior,loulu,palm,,,,,,,,,,Urocystis
macarthurii,lior,palm,Ptychosperma,,,,,,,,,,cepulae
Macarthur,FALSE,Ptychosperma,macarthurii,,,,,,,,,,Urocystis
palm,elder,macarthurii,Macarthur,,,,,,,,,,colchici
Rumex,Pritchardia,Macarthur,palm,,,,,,,,,,Uromyces
acetosella,sp,palm,Rumex,,,,,,,,,,acuminatus
sheep,loulu,Rumex,acetosella,,,,,,,,,,Uromyces
sorrel,palm,acetosella,sheep,,,,,,,,,,andropogonis
Saccharum,Ptychosperma,sheep,sorrel,,,,,,,,,,Uromyces
hybrid,macarthurii,sorrel,Saccharum,,,,,,,,,,appendiculatus
clone,Macarthur,Saccharum,hybrid,,,,,,,,,,Uromyces
Moentai,palm,hybrid,clone,,,,,,,,,,ari-triphylli
wild,Rumex,clone,Moentai,,,,,,,,,,Uromyces
cane,acetosella,Moentai,wild,,,,,,,,,,dactylidis
hybrid,sheep,wild,cane,,,,,,,,,,Uromyces
Samanea,sorrel,cane,hybrid,,,,,,,,,,dianthi
saman,Saccharum,hybrid,Samanea,,,,,,,,,,Uromyces
syn,hybrid,Samanea,saman,,,,,,,,,,fabae
Albizia,clone,saman,syn,,,,,,,,,,Uromyces
saman,Moentai,syn,Albizia,,,,,,,,,,striatus
monkeypod,wild,Albizia,saman,,,,,,,,,,Uromyces
filinganga,cane,saman,monkeypod,,,,,,,,,,trifolii-repentis
gumorni,hybrid,monkeypod,filinganga,,,,,,,,,,Ustilaginoidea
tamalini,Samanea,filinganga,gumorni,,,,,,,,,,virens
trongkonmames,saman,gumorni,tamalini,,,,,,,,,,Ustilago
Sapindus,syn,tamalini,trongkonmames,,,,,,,,,,avenae
saponaria,Albizia,trongkonmames,Sapindus,,,,,,,,,,Ustilago
naupaka,saman,Sapindus,saponaria,,,,,,,,,,bethelii
nanaso,monkeypod,saponaria,naupaka,,,,,,,,,,Ustilago
manele,filinganga,naupaka,nanaso,,,,,,,,,,buchloes
soapberry,gumorni,nanaso,manele,,,,,,,,,,Ustilago
Scaevola,tamalini,manele,soapberry,,,,,,,,,,bullata
sericea,trongkonmames,soapberry,Scaevola,,,,,,,,,,Ustilago
dwarf,Sapindus,Scaevola,sericea,,,,,,,,,,hordei
brassaia,saponaria,sericea,dwarf,,,,,,,,,,Ustilago
Schfflera,naupaka,dwarf,brassaia,,,,,,,,,,hypodytes
arboricola,nanaso,brassaia,Schfflera,,,,,,,,,,Ustilago
makai,manele,Schfflera,arboricola,,,,,,,,,,minima
Scirpus,soapberry,arboricola,makai,,,,,,,,,,Ustilago
maritimus,Scaevola,makai,Scirpus,,,,,,,,,,nuda
var,sericea,Scirpus,maritimus,,,,,,,,,,Ustilago
paludosus,dwarf,maritimus,var,,,,,,,,,,striiformis
Scleria,brassaia,var,paludosus,,,,,,,,,,Ustilago
sp,Schfflera,paludosus,Scleria,,,,,,,,,,trichophora
cereal,arboricola,Scleria,sp,,,,,,,,,,Ustilago
rye,makai,sp,cereal,,,,,,,,,,tritici
Secale,Scirpus,cereal,rye,,,,,,,,,,Ustilago
cereale,maritimus,rye,Secale,,,,,,,,,,utriculosa
kolomona,var,Secale,cereale,,,,,,,,,,Valsa
Senna,paludosus,cereale,kolomona,,,,,,,,,,abietis
guadichaudii,Scleria,kolomona,Senna,,,,,,,,,,Valsa
ohai,sp,Senna,guadichaudii,,,,,,,,,,ambiens
Sesbania,cereal,guadichaudii,ohai,,,,,,,,,,Valsa
tomentosa,rye,ohai,Sesbania,,,,,,,,,,ceratosperma
ohai,Secale,Sesbania,tomentosa,,,,,,,,,,Valsa
Sesbania,cereale,tomentosa,ohai,,,,,,,,,,cypri
tomentosa,kolomona,ohai,Sesbania,,,,,,,,,,Valsa
f,Senna,Sesbania,tomentosa,,,,,,,,,,kunzei
arborea,guadichaudii,tomentosa,f,,,,,,,,,,Valsa
bristly,ohai,f,arborea,,,,,,,,,,quaternata
foxtail,Sesbania,arborea,bristly,,,,,,,,,,Valsa
Setaria,tomentosa,bristly,foxtail,,,,,,,,,,sordida
verticillata,ohai,foxtail,Setaria,,,,,,,,,,Venturia
ilima,Sesbania,Setaria,verticillata,,,,,,,,,,carpophila
Sida,tomentosa,verticillata,ilima,,,,,,,,,,Venturia
fallax,f,ilima,Sida,,,,,,,,,,inaequalis
ilima,arborea,Sida,fallax,,,,,,,,,,Venturia
papa,bristly,fallax,ilima,,,,,,,,,,macularis
Sida,foxtail,ilima,papa,,,,,,,,,,Venturia
fallax,Setaria,papa,Sida,,,,,,,,,,pirina
mamane,verticillata,Sida,fallax,,,,,,,,,,Venturia
Sophora,ilima,fallax,mamane,,,,,,,,,,populina
chrysophylla,Sida,mamane,Sophora,,,,,,,,,,Venturia
forage,fallax,Sophora,chrysophylla,,,,,,,,,,pyrina
sorghum,ilima,chrysophylla,forage,,,,,,,,,,Venturia
hybrid,papa,forage,sorghum,,,,,,,,,,saliciperda
Sorghum,Sida,sorghum,hybrid,,,,,,,,,,Venturia
bicolor,fallax,hybrid,Sorghum,,,,,,,,,,tremulae
sorghum,mamane,Sorghum,bicolor,,,,,,,,,,Verticillium
x,Sophora,bicolor,sorghum,,,,,,,,,,albo-atrum
sudangrass,chrysophylla,sorghum,x,,,,,,,,,,Verticillium
hybrid,forage,x,sudangrass,,,,,,,,,,dahliae
Sorghum,sorghum,sudangrass,hybrid,,,,,,,,,,Virgella
bicolor,hybrid,hybrid,Sorghum,,,,,,,,,,robusta
x,Sorghum,Sorghum,bicolor,,,,,,,,,,Volutella
Sorghum,bicolor,bicolor,x,,,,,,,,,,buxi
bicolor,sorghum,x,Sorghum,,,,,,,,,,Volutella
var,x,Sorghum,bicolor,,,,,,,,,,pachysandrae
sudanese,sudangrass,bicolor,var,,,,,,,,,,Volutella
aki,hybrid,var,sudanese,,,,,,,,,,pachysandricola
aki,Sorghum,sudanese,aki,,,,,,,,,,Wilcoxina
totoput,bicolor,aki,aki,,,,,,,,,,mikolae
Sporobolus,x,aki,totoput,,,,,,,,,,Wilsonomyces
virginicus,Sorghum,totoput,Sporobolus,,,,,,,,,,carpophilus
St,bicolor,Sporobolus,virginicus,,,,,,,,,,Xylaria
Augustinegrass,var,virginicus,St,,,,,,,,,,mali
Stenotaphrum,sudanese,St,Augustinegrass,,,,,,,,,,Xylaria
secondatum,aki,Augustinegrass,Stenotaphrum,,,,,,,,,,polymorpha
shrubby,aki,Stenotaphrum,secondatum,,,,,,,,,,
stylo,totoput,secondatum,shrubby,,,,,,,,,,
Stylosanthes,Sporobolus,shrubby,stylo,,,,,,,,,,
scabra,virginicus,stylo,Stylosanthes,,,,,,,,,,
cv,St,Stylosanthes,scabra,,,,,,,,,,
Seca,Augustinegrass,scabra,cv,,,,,,,,,,
pukiawe,Stenotaphrum,cv,Seca,,,,,,,,,,
Styphelia,secondatum,Seca,pukiawe,,,,,,,,,,
tameiameiae,shrubby,pukiawe,Styphelia,,,,,,,,,,
mahogany,stylo,Styphelia,tameiameiae,,,,,,,,,,
broad,Stylosanthes,tameiameiae,mahogany,,,,,,,,,,
leaved,scabra,mahogany,broad,,,,,,,,,,
Swietenia,cv,broad,leaved,,,,,,,,,,
macrophylla,Seca,leaved,Swietenia,,,,,,,,,,
mahogany,pukiawe,Swietenia,macrophylla,,,,,,,,,,
Swietenia,Styphelia,macrophylla,mahogany,,,,,,,,,,
mahagoni,tameiameiae,mahogany,Swietenia,,,,,,,,,,
Australian,mahogany,Swietenia,mahagoni,,,,,,,,,,
bushcherry,broad,mahagoni,Australian,,,,,,,,,,
Syzygium,leaved,Australian,bushcherry,,,,,,,,,,
paniculatum,Swietenia,bushcherry,Syzygium,,,,,,,,,,
syn,macrophylla,Syzygium,paniculatum,,,,,,,,,,
Eugenia,mahogany,paniculatum,syn,,,,,,,,,,
myrtifolia,Swietenia,syn,Eugenia,,,,,,,,,,
pink,mahagoni,Eugenia,myrtifolia,,,,,,,,,,
tecoma,Australian,myrtifolia,pink,,,,,,,,,,
Tabebuia,bushcherry,pink,tecoma,,,,,,,,,,
heterophylla,Syzygium,tecoma,Tabebuia,,,,,,,,,,
tamarind,paniculatum,Tabebuia,heterophylla,,,,,,,,,,
Tamarindus,syn,heterophylla,tamarind,,,,,,,,,,
indica,Eugenia,tamarind,Tamarindus,,,,,,,,,,
FALSE,myrtifolia,Tamarindus,indica,,,,,,,,,,
kamani,pink,indica,FALSE,,,,,,,,,,
talie,tecoma,FALSE,kamani,,,,,,,,,,
talisai,Tabebuia,kamani,talie,,,,,,,,,,
miich,heterophylla,talie,talisai,,,,,,,,,,
tropical,tamarind,talisai,miich,,,,,,,,,,
almond,Tamarindus,miich,tropical,,,,,,,,,,
Terminalia,indica,tropical,almond,,,,,,,,,,
catappa,FALSE,almond,Terminalia,,,,,,,,,,
milo,kamani,Terminalia,catappa,,,,,,,,,,
binalo,talie,catappa,milo,,,,,,,,,,
banalo,talisai,milo,binalo,,,,,,,,,,
rosewood,miich,binalo,banalo,,,,,,,,,,
badrirt,tropical,banalo,rosewood,,,,,,,,,,
kilulo,almond,rosewood,badrirt,,,,,,,,,,
panu,Terminalia,badrirt,kilulo,,,,,,,,,,
polo,catappa,kilulo,panu,,,,,,,,,,
pone,milo,panu,polo,,,,,,,,,,
bangbeng,binalo,polo,pone,,,,,,,,,,
Thespesia,banalo,pone,bangbeng,,,,,,,,,,
populnea,rosewood,bangbeng,Thespesia,,,,,,,,,,
beach,badrirt,Thespesia,populnea,,,,,,,,,,
heliotrope,kilulo,populnea,beach,,,,,,,,,,
hunig,panu,beach,heliotrope,,,,,,,,,,
amoloset,polo,heliotrope,hunig,,,,,,,,,,
chen,pone,hunig,amoloset,,,,,,,,,,
kiden,bangbeng,amoloset,chen,,,,,,,,,,
tausuni,Thespesia,chen,kiden,,,,,,,,,,
techel,populnea,kiden,tausuni,,,,,,,,,,
titin,beach,tausuni,techel,,,,,,,,,,
sruhsruh,heliotrope,techel,titin,,,,,,,,,,
Tournefortia,hunig,titin,sruhsruh,,,,,,,,,,
argentea,amoloset,sruhsruh,Tournefortia,,,,,,,,,,
oyster,chen,Tournefortia,argentea,,,,,,,,,,
plant,kiden,argentea,oyster,,,,,,,,,,
Tradescantia,tausuni,oyster,plant,,,,,,,,,,
spathacea,techel,plant,Tradescantia,,,,,,,,,,
white,titin,Tradescantia,spathacea,,,,,,,,,,
clover,sruhsruh,spathacea,white,,,,,,,,,,
Trifolium,Tournefortia,white,clover,,,,,,,,,,
repens,argentea,clover,Trifolium,,,,,,,,,,
wheat,oyster,Trifolium,repens,,,,,,,,,,
Triticum,plant,repens,wheat,,,,,,,,,,
aestivum,Tradescantia,wheat,Triticum,,,,,,,,,,
signalgrass,spathacea,Triticum,aestivum,,,,,,,,,,
Urochloa,white,aestivum,signalgrass,,,,,,,,,,
brizantha,clover,signalgrass,Urochloa,,,,,,,,,,
syn,Trifolium,Urochloa,brizantha,,,,,,,,,,
Brachiaria,repens,brizantha,syn,,,,,,,,,,
brizantha,wheat,syn,Brachiaria,,,,,,,,,,
green,Triticum,Brachiaria,brizantha,,,,,,,,,,
panicgrass,aestivum,brizantha,green,,,,,,,,,,
Urochloa,signalgrass,green,panicgrass,,,,,,,,,,
maxima,Urochloa,panicgrass,Urochloa,,,,,,,,,,
syn,brizantha,Urochloa,maxima,,,,,,,,,,
Panicum,syn,maxima,syn,,,,,,,,,,
maximum,Brachiaria,syn,Panicum,,,,,,,,,,
var,brizantha,Panicum,maximum,,,,,,,,,,
trichoglume,green,maximum,var,,,,,,,,,,
guineagrass,panicgrass,var,trichoglume,,,,,,,,,,
Urochloa,Urochloa,trichoglume,guineagrass,,,,,,,,,,
maxima,maxima,guineagrass,Urochloa,,,,,,,,,,
syn,syn,Urochloa,maxima,,,,,,,,,,
Panicum,Panicum,maxima,syn,,,,,,,,,,
maximum,maximum,syn,Panicum,,,,,,,,,,
ohelo,var,Panicum,maximum,,,,,,,,,,
Vaccinium,trichoglume,maximum,ohelo,,,,,,,,,,
reticulatum,guineagrass,ohelo,Vaccinium,,,,,,,,,,
vetch,Urochloa,Vaccinium,reticulatum,,,,,,,,,,
woolypod,maxima,reticulatum,vetch,,,,,,,,,,
Vicia,syn,vetch,woolypod,,,,,,,,,,
villosa,Panicum,woolypod,Vicia,,,,,,,,,,
ssp,maximum,Vicia,villosa,,,,,,,,,,
varia,ohelo,villosa,ssp,,,,,,,,,,
cv,Vaccinium,ssp,varia,,,,,,,,,,
Lana,reticulatum,varia,cv,,,,,,,,,,
nanea,vetch,cv,Lana,,,,,,,,,,
Vigna,woolypod,Lana,nanea,,,,,,,,,,
marina,Vicia,nanea,Vigna,,,,,,,,,,
cowpea,villosa,Vigna,marina,,,,,,,,,,
Vigna,ssp,marina,cowpea,,,,,,,,,,
unguiculata,varia,cowpea,Vigna,,,,,,,,,,
pohinahina,cv,Vigna,unguiculata,,,,,,,,,,
beach,Lana,unguiculata,pohinahina,,,,,,,,,,
vitex,nanea,pohinahina,beach,,,,,,,,,,
Vitex,Vigna,beach,vitex,,,,,,,,,,
rotundifolia,marina,vitex,Vitex,,,,,,,,,,
syn,cowpea,Vitex,rotundifolia,,,,,,,,,,
Vitex,Vigna,rotundifolia,syn,,,,,,,,,,
ovata,unguiculata,syn,Vitex,,,,,,,,,,
blue,pohinahina,Vitex,ovata,,,,,,,,,,
vitex,beach,ovata,blue,,,,,,,,,,
nanulega,vitex,blue,vitex,,,,,,,,,,
Vitex,Vitex,vitex,nanulega,,,,,,,,,,
trifolia,rotundifolia,nanulega,Vitex,,,,,,,,,,
var,syn,Vitex,trifolia,,,,,,,,,,
variegata,Vitex,trifolia,var,,,,,,,,,,
uhaloa,ovata,var,variegata,,,,,,,,,,
escobilla,blue,variegata,uhaloa,,,,,,,,,,
sabana,vitex,uhaloa,escobilla,,,,,,,,,,
waltheria,nanulega,escobilla,sabana,,,,,,,,,,
Waltheria,Vitex,sabana,waltheria,,,,,,,,,,
indica,trifolia,waltheria,Waltheria,,,,,,,,,,
akia,var,Waltheria,indica,,,,,,,,,,
Wikstroemia,variegata,indica,akia,,,,,,,,,,
